ID;Título;Localización;Precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
105036875;Ático en venta en calle del General Pardiñas, 26;Goya;1090000.0;26.0;100.0;2.0;2.0;;;Segunda mano/buen estado;oeste;;;Planta 6ª exterior;True;40°25'25.62'' N;3°40'43.89'' W
106459458;Dúplex en venta en calle de Montalbán;Jerónimos;2700000.0;;220.0;2.0;2.0;;True;Segunda mano/buen estado;sur;;Gas;;True;40°25'5.89'' N;3°41'31.67'' W
104608513;Casa o chalet independiente en venta en paseo de La Habana;Nueva España;3110000.0;;430.0;5.0;5.0;;True;;;;;;;40°26'53.19'' N;3°41'24.16'' W
105453336;Casa o chalet independiente en venta en calle Caléndula, 28;Valdebebas - Valdefuentes;1750000.0;28.0;425.0;5.0;6.0;;True;Segunda mano/buen estado;;2024.0;Calefacción individual;;;40°28'49.09'' N;3°37'51.45'' W
106473746;Piso en venta en calle de Bravo Murillo;Arapiles;760000.0;;129.0;5.0;2.0;;;;este;1932.0;Gasoil;Planta 1ª exterior;True;40°26'2.63'' N;3°42'16.36'' W
106454523;Dúplex en venta en calle de Rosario Pino;Cuzco-Castillejos;1490000.0;;217.0;3.0;2.0;;True;Segunda mano/buen estado;este;1978.0;;;True;40°27'42.91'' N;3°41'26.38'' W
106408678;Piso en venta en calle de Lombía;Goya;1395000.0;;100.0;3.0;2.0;;;Segunda mano/buen estado;;;Calefacción individual;Planta 4ª exterior;True;40°25'33.6'' N;3°40'20.62'' W
106213981;Piso en venta en calle del Duque de Sesto;Goya;1430000.0;;133.0;3.0;4.0;;;Segunda mano/buen estado;;;;Planta 1ª exterior;True;40°25'21.71'' N;3°40'42.99'' W
104830815;Piso en venta en calle de Jorge Juan;Goya;1890000.0;;142.0;3.0;2.0;;;Segunda mano/buen estado;este;;Calefacción central;Planta 3ª exterior;True;40°25'26.5'' N;3°41'15.87'' W
106413711;Piso en venta en calle de Jorge Juan;Goya;1354900.0;;144.0;2.0;2.0;;;Segunda mano/buen estado;sur;1957.0;Gas natural;Planta 2ª exterior;True;40°25'26.5'' N;3°41'15.87'' W
105528916;Piso en venta en calle de José Ortega y Gasset;Castellana;7900000.0;;473.0;4.0;4.0;;True;Segunda mano/buen estado;sur;;Calefacción central;Planta 2ª exterior;True;40°25'50.37'' N;3°41'17.22'' W
105611100;Piso en venta en calle de Francisco Silvela;Lista;1740000.0;;244.0;4.0;5.0;;True;Segunda mano/buen estado;oeste;;Calefacción central;Planta 4ª exterior;True;40°25'42.93'' N;3°40'10.33'' W
105498972;Piso en venta en calle de Núñez de Balboa;Recoletos;850500.0;;81.0;;;;;Segunda mano/buen estado;este;1974.0;Calefacción central;Planta 4ª exterior;True;40°25'18.2'' N;3°40'59.4'' W
105832670;Piso en venta en calle de Claudio Coello;Recoletos;1480000.0;;144.0;2.0;2.0;;;Segunda mano/buen estado;;;Gas natural;Planta 7ª exterior;True;40°25'13.95'' N;3°41'14.5'' W
105935279;Piso en venta en calle de Alcalá;Recoletos;3895000.0;;242.0;4.0;5.0;;;Segunda mano/buen estado;sur;;Gas;Planta 3ª exterior;True;40°25'1.98'' N;3°42'8.09'' W
105915868;Piso en venta en calle del Príncipe de Vergara;Recoletos;1830000.0;;175.0;2.0;3.0;;;Segunda mano/buen estado;oeste;;Calefacción central;Planta 1ª exterior;True;40°25'22.3'' N;3°40'49.93'' W
105577336;Chalet pareado en venta en calle Condesa Trifaldi;Montecarmelo;1695000.0;;350.0;6.0;6.0;268.0;True;Segunda mano/buen estado;sur;;;;;40°30'23.2'' N;3°41'13.07'' W
105928411;Piso en venta en calle de Alcántara;Lista;730000.0;;67.0;2.0;3.0;;;Segunda mano/buen estado;oeste;1931.0;Gas natural;Planta 2ª interior;True;40°25'32.56'' N;3°40'26.93'' W
105728610;Piso en venta en calle San Martín de Porres, 43;Ciudad Universitaria;699000.0;43.0;140.0;4.0;3.0;;True;;sur;1971.0;;Planta 1ª exterior;True;40°27'56.68'' N;3°43'37.46'' W
106094606;Piso en venta en calle de Ibiza;Ibiza;530000.0;;70.0;2.0;2.0;;;;este;1968.0;Gas natural;Planta 5ª interior;True;40°25'6.74'' N;3°40'42.34'' W
106268985;Piso en venta en calle de Rafael Calvo;Almagro;1790000.0;;180.0;5.0;3.0;;True;Segunda mano/buen estado;sur;1980.0;;Planta 4ª exterior;True;40°26'1.17'' N;3°41'50.94'' W
105971070;Piso en venta en calle de Santa Cruz de Marcenado;Malasaña-Universidad;1050000.0;;156.0;4.0;3.0;;;Segunda mano/buen estado;;1948.0;Gas;Planta 5ª exterior;True;40°25'43.9'' N;3°42'24.36'' W
106269928;Piso en venta en calle de Santa Engracia;Almagro;1590000.0;;119.0;3.0;3.0;;;Segunda mano/buen estado;;;;Planta 4ª exterior;True;40°25'41.55'' N;3°41'45.67'' W
106175815;Piso en venta en calle de Claudio Coello;Castellana;1700000.0;;171.0;2.0;3.0;;;Segunda mano/buen estado;oeste;1950.0;Calefacción individual;Planta 3ª exterior;True;40°25'13.95'' N;3°41'14.5'' W
